run,dataset_name,num_points,codec,time
0,adhd_sin,60,avro,1.0001528339926153
1,adhd_sin,60,avro,1.0027944169996772
2,adhd_sin,60,avro,1.0036255000013625
3,adhd_sin,60,avro,1.0032357079908252
4,adhd_sin,60,avro,1.0043161659996258
5,adhd_sin,60,avro,1.0038786670047557
6,adhd_sin,60,avro,1.0030267920083134
7,adhd_sin,60,avro,1.0025030000106199
8,adhd_sin,60,avro,1.0033971249940805
9,adhd_sin,60,avro,1.0029626670002472
0,adhd_sin,120,avro,2.002757249996648
1,adhd_sin,120,avro,2.0041324170015287
2,adhd_sin,120,avro,2.004000500004622
3,adhd_sin,120,avro,2.0026716249994934
4,adhd_sin,120,avro,2.000712667009793
5,adhd_sin,120,avro,2.0015101250028238
6,adhd_sin,120,avro,2.0040235000051325
7,adhd_sin,120,avro,2.0028744580049533
8,adhd_sin,120,avro,2.0018607910024
9,adhd_sin,120,avro,2.0017452079919167
0,adhd_sin,240,avro,3.773313457990298
1,adhd_sin,240,avro,3.772060750008677
2,adhd_sin,240,avro,3.7731205410091206
3,adhd_sin,240,avro,3.7751256250048755
4,adhd_sin,240,avro,3.77286974999879
5,adhd_sin,240,avro,3.7750312089920044
6,adhd_sin,240,avro,3.772844042003271
7,adhd_sin,240,avro,3.7702084999909857
8,adhd_sin,240,avro,3.7737061670050025
9,adhd_sin,240,avro,3.7716437079943717
0,adhd_sin,480,avro,3.774448083000607
1,adhd_sin,480,avro,3.7713166250032373
2,adhd_sin,480,avro,3.772692875005305
3,adhd_sin,480,avro,3.7742641669901786
4,adhd_sin,480,avro,3.7745783330028644
5,adhd_sin,480,avro,3.7718828749930253
6,adhd_sin,480,avro,3.7711280829971656
7,adhd_sin,480,avro,3.7706817080033943
8,adhd_sin,480,avro,3.77066387499508
9,adhd_sin,480,avro,3.773786999998265
0,battleship_gaze,30,avro,1.4811046670074575
1,battleship_gaze,30,avro,1.4820542499946896
2,battleship_gaze,30,avro,1.486446374998195
3,battleship_gaze,30,avro,1.483008916999097
4,battleship_gaze,30,avro,1.4857483329979004
5,battleship_gaze,30,avro,1.4845276669948362
6,battleship_gaze,30,avro,1.4816595419979421
7,battleship_gaze,30,avro,1.4854886250104755
8,battleship_gaze,30,avro,1.4833638750133105
9,battleship_gaze,30,avro,1.4825645420060027
0,battleship_gaze,60,avro,2.884202750006807
1,battleship_gaze,60,avro,2.8834210409986554
2,battleship_gaze,60,avro,2.88413204200333
3,battleship_gaze,60,avro,2.88381191699591
4,battleship_gaze,60,avro,2.882181333989138
5,battleship_gaze,60,avro,2.88449350000883
6,battleship_gaze,60,avro,2.8848964579956373
7,battleship_gaze,60,avro,2.886481542009278
8,battleship_gaze,60,avro,2.883904957998311
9,battleship_gaze,60,avro,2.8812011670088395
0,battleship_gaze,120,avro,5.723050667002099
1,battleship_gaze,120,avro,5.722961957988446
2,battleship_gaze,120,avro,5.722714083007304
3,battleship_gaze,120,avro,5.71661225000571
4,battleship_gaze,120,avro,5.719834124989575
5,battleship_gaze,120,avro,5.720267209006124
6,battleship_gaze,120,avro,5.723337332994561
7,battleship_gaze,120,avro,5.718876208004076
8,battleship_gaze,120,avro,5.72080024999741
9,battleship_gaze,120,avro,5.720623708999483
0,battleship_gaze,240,avro,11.386584459003643
1,battleship_gaze,240,avro,11.383647249997011
2,battleship_gaze,240,avro,11.384770791992196
3,battleship_gaze,240,avro,11.385867499993765
4,battleship_gaze,240,avro,11.387964416004252
5,battleship_gaze,240,avro,11.384650209001848
6,battleship_gaze,240,avro,11.392152875007014
7,battleship_gaze,240,avro,11.388624792001792
8,battleship_gaze,240,avro,11.385579459005385
9,battleship_gaze,240,avro,11.384546208995744
0,tdbrain,100,avro,1.0023658340069233
1,tdbrain,100,avro,1.0031116659956751
2,tdbrain,100,avro,0.9997875419940101
3,tdbrain,100,avro,1.0021590840042336
4,tdbrain,100,avro,1.0013297499972396
5,tdbrain,100,avro,1.0010133330069948
6,tdbrain,100,avro,1.00350870800321
7,tdbrain,100,avro,1.0025163749960484
8,tdbrain,100,avro,1.0027913750091102
9,tdbrain,100,avro,1.0035996250080643
0,tdbrain,200,avro,2.002797291992465
1,tdbrain,200,avro,2.001390374993207
2,tdbrain,200,avro,2.0037351670034695
3,tdbrain,200,avro,2.002071333990898
4,tdbrain,200,avro,2.0031721249979455
5,tdbrain,200,avro,2.0027719589998014
6,tdbrain,200,avro,2.0024487920018146
7,tdbrain,200,avro,2.0025439170130994
8,tdbrain,200,avro,2.0010027500102296
9,tdbrain,200,avro,2.0023536250082543
0,tdbrain,400,avro,4.000959541008342
1,tdbrain,400,avro,4.000999209005386
2,tdbrain,400,avro,3.999956583007588
3,tdbrain,400,avro,4.004843333008466
4,tdbrain,400,avro,4.003182542001014
5,tdbrain,400,avro,4.005129499986651
6,tdbrain,400,avro,4.001351333005005
7,tdbrain,400,avro,3.9996909589972347
8,tdbrain,400,avro,4.0031241250108
9,tdbrain,400,avro,4.003990875004092
0,tdbrain,800,avro,8.003465709000011
1,tdbrain,800,avro,8.004098332996364
2,tdbrain,800,avro,8.00479841599008
3,tdbrain,800,avro,8.00215654099884
4,tdbrain,800,avro,8.00114162499085
5,tdbrain,800,avro,8.000524499992025
6,tdbrain,800,avro,8.002323125008843
7,tdbrain,800,avro,8.001482540988945
8,tdbrain,800,avro,8.000354000003426
9,tdbrain,800,avro,8.001194791999296
