run,dataset_name,num_points,codec,time
0,adhd_sin,60,json,1.003648958998383
1,adhd_sin,60,json,1.0026457909989404
2,adhd_sin,60,json,1.0026005000108853
3,adhd_sin,60,json,1.0038074159965618
4,adhd_sin,60,json,1.003366292003193
5,adhd_sin,60,json,1.003975833998993
6,adhd_sin,60,json,1.0033908750046976
7,adhd_sin,60,json,1.0040693340124562
8,adhd_sin,60,json,1.0036890830087941
9,adhd_sin,60,json,1.000818957996671
0,adhd_sin,120,json,2.004154042006121
1,adhd_sin,120,json,2.0031658749940107
2,adhd_sin,120,json,2.0042252499988535
3,adhd_sin,120,json,2.004253457998857
4,adhd_sin,120,json,2.004695458992501
5,adhd_sin,120,json,2.0025401250022696
6,adhd_sin,120,json,2.0040762089920463
7,adhd_sin,120,json,2.0031558750051772
8,adhd_sin,120,json,2.0007090419967426
9,adhd_sin,120,json,2.0045519999985117
0,adhd_sin,240,json,3.7733464170014486
1,adhd_sin,240,json,3.7729083339945646
2,adhd_sin,240,json,3.7728625839954475
3,adhd_sin,240,json,3.773105874992325
4,adhd_sin,240,json,3.77185258299869
5,adhd_sin,240,json,3.7702871250075987
6,adhd_sin,240,json,3.7718817080021836
7,adhd_sin,240,json,3.769411291999859
8,adhd_sin,240,json,3.7719805000087945
9,adhd_sin,240,json,3.77117387499311
0,adhd_sin,480,json,3.7715965419920394
1,adhd_sin,480,json,3.7735382079990814
2,adhd_sin,480,json,3.7728640410059597
3,adhd_sin,480,json,3.7715170419978676
4,adhd_sin,480,json,3.7730204589897767
5,adhd_sin,480,json,3.7714005000016186
6,adhd_sin,480,json,3.7718168339924887
7,adhd_sin,480,json,3.773301708002691
8,adhd_sin,480,json,3.7690844159951666
9,adhd_sin,480,json,3.772698750006384
0,battleship_gaze,30,json,1.4869202080008108
1,battleship_gaze,30,json,1.4819942499889294
2,battleship_gaze,30,json,1.48550841701217
3,battleship_gaze,30,json,1.483028959002695
4,battleship_gaze,30,json,1.4855589170038002
5,battleship_gaze,30,json,1.4817873749998398
6,battleship_gaze,30,json,1.4827716660074657
7,battleship_gaze,30,json,1.4826238749956246
8,battleship_gaze,30,json,1.4812404580006842
9,battleship_gaze,30,json,1.4828398340032436
0,battleship_gaze,60,json,2.8855032499996014
1,battleship_gaze,60,json,2.887126083005569
2,battleship_gaze,60,json,2.88512570799503
3,battleship_gaze,60,json,2.887333791994024
4,battleship_gaze,60,json,2.8833862080064137
5,battleship_gaze,60,json,2.8859494589996757
6,battleship_gaze,60,json,2.8877197910042014
7,battleship_gaze,60,json,2.883036750004976
8,battleship_gaze,60,json,2.886956000002101
9,battleship_gaze,60,json,2.887272749998374
0,battleship_gaze,120,json,5.719707249998464
1,battleship_gaze,120,json,5.720907666996936
2,battleship_gaze,120,json,5.722322834000806
3,battleship_gaze,120,json,5.722197582988883
4,battleship_gaze,120,json,5.72424399999727
5,battleship_gaze,120,json,5.721230625000317
6,battleship_gaze,120,json,5.723322459001793
7,battleship_gaze,120,json,5.718806999997469
8,battleship_gaze,120,json,5.718903999993927
9,battleship_gaze,120,json,5.723147874989081
0,battleship_gaze,240,json,11.384424459000002
1,battleship_gaze,240,json,11.386640458003967
2,battleship_gaze,240,json,11.387686625006609
3,battleship_gaze,240,json,11.383411500006332
4,battleship_gaze,240,json,11.38738679200469
5,battleship_gaze,240,json,11.387107333008316
6,battleship_gaze,240,json,11.38704891600355
7,battleship_gaze,240,json,11.384121708004386
8,battleship_gaze,240,json,11.387765457999194
9,battleship_gaze,240,json,11.382979000001797
0,tdbrain,100,json,1.0028187499992782
1,tdbrain,100,json,1.0030045000021346
2,tdbrain,100,json,1.0015054589894135
3,tdbrain,100,json,1.0012237500050105
4,tdbrain,100,json,1.0012192920112284
5,tdbrain,100,json,1.0020667500066338
6,tdbrain,100,json,1.0024391250044573
7,tdbrain,100,json,1.0028337920084596
8,tdbrain,100,json,1.0025597920030123
9,tdbrain,100,json,1.0029951660108054
0,tdbrain,200,json,2.0023931250034366
1,tdbrain,200,json,2.0023824169911677
2,tdbrain,200,json,2.0018470830109436
3,tdbrain,200,json,2.002330208008061
4,tdbrain,200,json,2.0034041659964714
5,tdbrain,200,json,2.0015350000030594
6,tdbrain,200,json,2.002587124996353
7,tdbrain,200,json,2.0026045000122394
8,tdbrain,200,json,2.002081625003484
9,tdbrain,200,json,2.0030952919914853
0,tdbrain,400,json,4.001716415994451
1,tdbrain,400,json,4.001449916991987
2,tdbrain,400,json,4.003120042005321
3,tdbrain,400,json,4.00263724999968
4,tdbrain,400,json,4.0023614579986315
5,tdbrain,400,json,4.003039457995328
6,tdbrain,400,json,4.001835208007833
7,tdbrain,400,json,4.000641374994302
8,tdbrain,400,json,4.001866958002211
9,tdbrain,400,json,4.002262458001496
0,tdbrain,800,json,8.002712582994718
1,tdbrain,800,json,8.00299237499712
2,tdbrain,800,json,8.002629208000144
3,tdbrain,800,json,8.000355166994268
4,tdbrain,800,json,8.002648665991728
5,tdbrain,800,json,8.002832166006556
6,tdbrain,800,json,8.002659749996383
7,tdbrain,800,json,8.001725207999698
8,tdbrain,800,json,8.003609584004153
9,tdbrain,800,json,8.004519333000644
