run,dataset_name,num_points,runtime,time,jitter
0,ADHD_SIN,60,rpc_avro,1.0006909999938216,0.0013905719924428143
1,ADHD_SIN,60,rpc_avro,1.0024876249954104,0.0015009427912925754
2,ADHD_SIN,60,rpc_avro,1.0013055419985903,0.001705020162294278
3,ADHD_SIN,60,rpc_avro,0.9996487080061343,0.001434585559930925
4,ADHD_SIN,60,rpc_avro,0.9998630829941249,0.0015279271471609073
5,ADHD_SIN,60,rpc_avro,1.0012465000036173,0.0017117553185052562
6,ADHD_SIN,60,rpc_avro,1.0026972920022672,0.0014941245153928487
7,ADHD_SIN,60,rpc_avro,1.001229458997841,0.0017862345958527274
8,ADHD_SIN,60,rpc_avro,1.002064166998025,0.0018699671749150837
9,ADHD_SIN,60,rpc_avro,1.0017356669995934,0.0021638538491523954
0,ADHD_SIN,120,rpc_avro,2.003852374997223,0.0018504206327996252
1,ADHD_SIN,120,rpc_avro,2.0009768339950824,0.0017747974686176953
2,ADHD_SIN,120,rpc_avro,2.000024207998649,0.0021909602736889257
3,ADHD_SIN,120,rpc_avro,2.002415833005216,0.0017760153373032432
4,ADHD_SIN,120,rpc_avro,2.0038969589950284,0.0017305764398922437
5,ADHD_SIN,120,rpc_avro,2.0033019999973476,0.0020317314746897894
6,ADHD_SIN,120,rpc_avro,2.0025629169977037,0.0016663071955491963
7,ADHD_SIN,120,rpc_avro,2.002134249996743,0.001536966346610544
8,ADHD_SIN,120,rpc_avro,2.003771332994802,0.001619570946806749
9,ADHD_SIN,120,rpc_avro,2.003186417001416,0.0017173139706454783
0,ADHD_SIN,240,rpc_avro,3.775615957987611,0.001997720381228092
1,ADHD_SIN,240,rpc_avro,3.7753189579962054,0.0019449847616577949
2,ADHD_SIN,240,rpc_avro,3.7710050419991603,0.0016957945817095512
3,ADHD_SIN,240,rpc_avro,3.7753914999921108,0.001722460785359482
4,ADHD_SIN,240,rpc_avro,3.771765792000224,0.001914763247037548
5,ADHD_SIN,240,rpc_avro,3.7727680839889217,0.001725975755965813
6,ADHD_SIN,240,rpc_avro,3.7725563340063673,0.0019002981114887936
7,ADHD_SIN,240,rpc_avro,3.7742378749971977,0.00189902155143183
8,ADHD_SIN,240,rpc_avro,3.7747150420036633,0.0018345128263088555
