GROUP,ITEM,MODEL,ER-ORIG,ER-NOISY,SAMPLES
NBACK-Mode,Baseline,Pink,0.072336,0.072336,"5,582,188"
NBACK-Mode,Baseline,White,0.072283,0.072283,"5,582,170"
NBACK-Mode,Baseline,Zero,0.072277,0.072277,"5,582,160"
NBACK-Mode,Task,Pink,0.059648,0.059648,"19,965,068"
NBACK-Mode,Task,White,0.059607,0.059607,"19,965,082"
NBACK-Mode,Task,Zero,0.059604,0.059604,"19,965,075"
NBACK-Task,1back,Pink,0.063064,0.063064,"12,581,319"
NBACK-Task,1back,White,0.063023,0.063023,"12,581,289"
NBACK-Task,1back,Zero,0.063018,0.063018,"12,581,298"
NBACK-Task,2back,Pink,0.062225,0.062225,"12,965,937"
NBACK-Task,2back,White,0.062179,0.062180,"12,965,963"
NBACK-Task,2back,Zero,0.062177,0.062177,"12,965,937"
ADHD-SIN,0dB,Pink,0.102673,0.102673,"50,052"
ADHD-SIN,0dB,White,0.102225,0.102225,"50,051"
ADHD-SIN,5dB,Zero,0.102297,0.102297,"50,051"
ADHD-SIN,5dB,Pink,0.117201,0.117201,"41,969"
ADHD-SIN,5dB,White,0.117311,0.117311,"41,970"
ADHD-SIN,10dB,Zero,0.117228,0.117228,"41,970"
ADHD-SIN,10dB,Pink,0.112958,0.112958,"40,240"
ADHD-SIN,10dB,White,0.112778,0.112778,"40,241"
ADHD-SIN,15dB,Zero,0.112737,0.112737,"40,242"
ADHD-SIN,15dB,Pink,0.121464,0.121463,"33,555"
ADHD-SIN,15dB,White,0.121521,0.121521,"33,555"
ADHD-SIN,15dB,Zero,0.121467,0.121467,"33,555"
