run,dataset_name,num_points,runtime,time,jitter
0,ADHD_SIN,60,rpc_avro,1.0000997919705696,0.003155758252705659
1,ADHD_SIN,60,rpc_avro,1.003588417021092,0.003490058481672499
2,ADHD_SIN,60,rpc_avro,1.005681957991328,0.003201160774035543
3,ADHD_SIN,60,rpc_avro,1.006199583003763,0.00411261365611253
4,ADHD_SIN,60,rpc_avro,1.0055107499938458,0.0036893304422856497
5,ADHD_SIN,60,rpc_avro,1.0030440000118688,0.0035254960732568853
6,ADHD_SIN,60,rpc_avro,1.0037342500290833,0.003157286713479892
7,ADHD_SIN,60,rpc_avro,1.004999958036933,0.002939391025317704
8,ADHD_SIN,60,rpc_avro,1.0025881250039674,0.0030305253528756697
9,ADHD_SIN,60,rpc_avro,1.0053299579885788,0.004394142814569861
0,ADHD_SIN,120,rpc_avro,2.005185166024603,0.003596453724828089
1,ADHD_SIN,120,rpc_avro,2.006247917015571,0.003979508893410163
2,ADHD_SIN,120,rpc_avro,2.0038255830295384,0.0033240315954824466
3,ADHD_SIN,120,rpc_avro,2.000040583021473,0.003551608993159501
4,ADHD_SIN,120,rpc_avro,2.0051910410402343,0.004081125552314394
5,ADHD_SIN,120,rpc_avro,2.0028040829929523,0.0020042608742130894
6,ADHD_SIN,120,rpc_avro,2.001975291001145,0.001638050644603904
7,ADHD_SIN,120,rpc_avro,2.0025844170013443,0.0016013176017734738
8,ADHD_SIN,120,rpc_avro,2.0027715410105884,0.0017539790031802231
9,ADHD_SIN,120,rpc_avro,2.0026444169925526,0.0015132927306082903
0,ADHD_SIN,240,rpc_avro,3.7768174579832703,0.0015110617230496266
1,ADHD_SIN,240,rpc_avro,3.776829250040464,0.0019001561781756345
2,ADHD_SIN,240,rpc_avro,3.7751490420196205,0.0024608153081875687
3,ADHD_SIN,240,rpc_avro,3.774306582985446,0.0021493465195618587
4,ADHD_SIN,240,rpc_avro,3.777874667022843,0.0015200347049136123
5,ADHD_SIN,240,rpc_avro,3.7780165000003763,0.002169820725647628
6,ADHD_SIN,240,rpc_avro,3.774885832972359,0.001920605597007363
7,ADHD_SIN,240,rpc_avro,3.777635584003292,0.002151943396414637
8,ADHD_SIN,240,rpc_avro,3.777736999967601,0.0015951814788069698
9,ADHD_SIN,240,rpc_avro,3.7769990419619717,0.0019819692651458515
0,ADHD_SIN,480,rpc_avro,3.7771465000114404,0.002024861234069908
1,ADHD_SIN,480,rpc_avro,3.7757430829806253,0.0022941849939613875
2,ADHD_SIN,480,rpc_avro,3.7779743329738267,0.0015984852804402456
3,ADHD_SIN,480,rpc_avro,3.772518583049532,0.0017017733802114274
4,ADHD_SIN,480,rpc_avro,3.7773250000318512,0.0015247890160884011
5,ADHD_SIN,480,rpc_avro,3.7746589580201544,0.001742543362093236
6,ADHD_SIN,480,rpc_avro,3.776998209010344,0.0016127511798389406
7,ADHD_SIN,480,rpc_avro,3.773776791000273,0.0015045278994959678
8,ADHD_SIN,480,rpc_avro,3.776784832996782,0.0015371223716744951
9,ADHD_SIN,480,rpc_avro,3.77586308401078,0.0020549408782913675
0,adhd_sin_h5,60,rpc_avro,1.0022146250121295,0.0011420495234398414
1,adhd_sin_h5,60,rpc_avro,1.0026885000406764,0.0019299293460728869
2,adhd_sin_h5,60,rpc_avro,1.0029111669864506,0.0014128242874061779
3,adhd_sin_h5,60,rpc_avro,1.0032094579655677,0.0015137579882767206
4,adhd_sin_h5,60,rpc_avro,1.003025333979167,0.0015926727442776977
5,adhd_sin_h5,60,rpc_avro,1.0028453749837354,0.0015474595619562276
6,adhd_sin_h5,60,rpc_avro,1.0026574580115266,0.001831975475323336
7,adhd_sin_h5,60,rpc_avro,1.0018125419737771,0.0020007779110682916
8,adhd_sin_h5,60,rpc_avro,1.0029093329794705,0.0015953713987639083
9,adhd_sin_h5,60,rpc_avro,1.0038232919760048,0.0016460224079503875
0,adhd_sin_h5,120,rpc_avro,2.0028265419532545,0.0014047353526283936
1,adhd_sin_h5,120,rpc_avro,2.0012719169608317,0.002261227559382269
2,adhd_sin_h5,120,rpc_avro,2.00432508304948,0.0015425646709843002
3,adhd_sin_h5,120,rpc_avro,2.0040892079705372,0.0016181244515171631
4,adhd_sin_h5,120,rpc_avro,2.000764500000514,0.001977774564582936
5,adhd_sin_h5,120,rpc_avro,2.0036799169611186,0.0012621173869840176
6,adhd_sin_h5,120,rpc_avro,2.0015920419828035,0.0014426245783686839
7,adhd_sin_h5,120,rpc_avro,2.002433417015709,0.001677647486026938
8,adhd_sin_h5,120,rpc_avro,2.0026862079976127,0.0020564667951570976
9,adhd_sin_h5,120,rpc_avro,2.0024907919578254,0.0013972866094779236
0,adhd_sin_h5,240,rpc_avro,3.7734632919891737,0.0015449221719968222
1,adhd_sin_h5,240,rpc_avro,3.777471208013594,0.0013914093231304815
2,adhd_sin_h5,240,rpc_avro,3.7761370840016752,0.0017122676258052845
3,adhd_sin_h5,240,rpc_avro,3.7769525420153514,0.001479663215880822
4,adhd_sin_h5,240,rpc_avro,3.7741350419819355,0.0017779426191891735
