run,dataset_name,num_points,runtime,time,jitter
0,ADHD_SIN,60,rpc_json,0.9989726669737138,0.0017068864428675893
1,ADHD_SIN,60,rpc_json,1.0022978329798207,0.0014709582732918942
2,ADHD_SIN,60,rpc_json,1.0037097500171512,0.002285864584694079
3,ADHD_SIN,60,rpc_json,1.00124508299632,0.0016522343805398594
4,ADHD_SIN,60,rpc_json,1.0025608339929022,0.0029037971836874117
5,ADHD_SIN,60,rpc_json,0.9999397079809569,0.0015313980365321308
6,ADHD_SIN,60,rpc_json,1.001379084016662,0.001956966971250013
7,ADHD_SIN,60,rpc_json,1.0000260829692706,0.0022210487694866773
8,ADHD_SIN,60,rpc_json,1.0027275829925202,0.001958257632250665
9,ADHD_SIN,60,rpc_json,1.0015128339873627,0.0017668382120827246
0,ADHD_SIN,120,rpc_json,2.0023583750007674,0.0014370522280962284
1,ADHD_SIN,120,rpc_json,2.0018562910263427,0.0015960000716779654
2,ADHD_SIN,120,rpc_json,2.0036800829693675,0.0017942898868117568
3,ADHD_SIN,120,rpc_json,2.003975709027145,0.0017828499430068885
4,ADHD_SIN,120,rpc_json,2.004144417005591,0.0020864051256571795
5,ADHD_SIN,120,rpc_json,2.002827709016856,0.0020319214549553532
6,ADHD_SIN,120,rpc_json,2.0050952919991687,0.0015786223042753157
7,ADHD_SIN,120,rpc_json,2.0052679170039482,0.0020278434488924407
8,ADHD_SIN,120,rpc_json,2.0016085419920273,0.0038528983125439083
9,ADHD_SIN,120,rpc_json,2.0045468330499716,0.001541805261521538
0,ADHD_SIN,240,rpc_json,3.768544542021118,0.002670688375725225
1,ADHD_SIN,240,rpc_json,3.7696514159906656,0.0016257251165935661
2,ADHD_SIN,240,rpc_json,3.7675309580517933,0.004364683085286785
3,ADHD_SIN,240,rpc_json,3.7695602499879897,0.002436352350701587
4,ADHD_SIN,240,rpc_json,3.7682812080020085,0.001837781031659175
5,ADHD_SIN,240,rpc_json,3.7672008340014145,0.0017527334980752382
6,ADHD_SIN,240,rpc_json,3.770282541983761,0.001815239682427254
7,ADHD_SIN,240,rpc_json,3.7701194580295123,0.002234222013143628
8,ADHD_SIN,240,rpc_json,3.769701083016116,0.0021530909453403007
9,ADHD_SIN,240,rpc_json,3.7696922079776414,0.002289534737784802
0,ADHD_SIN,480,rpc_json,3.7693297910154797,0.0021308408881139424
1,ADHD_SIN,480,rpc_json,3.769046583038289,0.0018240299944464993
2,ADHD_SIN,480,rpc_json,3.7674231249839067,0.0022684549954394614
3,ADHD_SIN,480,rpc_json,3.7702422500005923,0.003124044678609067
4,ADHD_SIN,480,rpc_json,3.7700950410217047,0.0025333432565073023
