,mean,std
a1_1_d,2.0,1.1547005383792515
a1_1_t,2.7142857142857144,1.6035674514745462
a1_2_d,2.7142857142857144,0.7559289460184545
a1_2_t,3.4285714285714284,0.9759000729485333
a1_3_d,3.0,1.0
a1_3_t,3.5714285714285716,0.7867957924694432
a1_4_d,3.0,1.2909944487358056
a1_4_t,3.2857142857142856,1.3801311186847083
a2_1_d,1.5714285714285714,0.7867957924694431
a2_1_t,1.8571428571428572,0.8997354108424372
a2_2_d,2.7142857142857144,0.7559289460184545
a2_2_t,3.5714285714285716,0.9759000729485333
a2_3_d,3.2857142857142856,0.7559289460184545
a2_3_t,3.857142857142857,1.0690449676496976
a2_4_d,4.714285714285714,0.4879500364742666
a2_4_t,4.714285714285714,0.4879500364742666
a3_1_d,1.2857142857142858,0.7559289460184545
a3_1_t,1.5714285714285714,0.7867957924694431
a3_2_d,2.0,1.0
a3_2_t,2.7142857142857144,0.9511897312113419
a3_3_d,3.2857142857142856,0.9511897312113419
a3_3_t,3.2857142857142856,0.9511897312113419
a3_4_d,4.142857142857143,1.4638501094227998
a3_4_t,4.428571428571429,0.9759000729485332
a4_1_d,1.4285714285714286,0.5345224838248488
a4_1_t,1.7142857142857142,0.7559289460184545
a4_2_d,3.142857142857143,1.3451854182690985
a4_2_t,3.5714285714285716,1.3972762620115438
b1_1_d,1.1428571428571428,0.37796447300922725
b1_1_t,1.1428571428571428,0.37796447300922725
b1_2_d,1.5714285714285714,0.5345224838248488
b1_2_t,2.5714285714285716,0.7867957924694432
b1_3_d,2.142857142857143,0.6900655593423541
b1_3_t,2.142857142857143,0.6900655593423541
b1_4_d,2.5714285714285716,0.9759000729485333
b1_4_t,3.2857142857142856,0.48795003647426655
b1_5_d,2.857142857142857,0.6900655593423541
b1_5_t,3.0,0.5773502691896257
b1_6_d,3.0,0.816496580927726
b1_6_t,3.5714285714285716,0.5345224838248487
b1_7_d,4.0,0.5773502691896257
b1_7_t,3.857142857142857,0.37796447300922725
b1_8_d,4.714285714285714,0.4879500364742666
b1_8_t,4.857142857142857,0.37796447300922725
b2_1_d,1.1428571428571428,0.37796447300922725
b2_1_t,1.1428571428571428,0.37796447300922725
b2_2_d,1.5714285714285714,0.5345224838248488
b2_2_t,2.5714285714285716,0.9759000729485333
b2_3_d,1.7142857142857142,0.48795003647426666
b2_3_t,2.142857142857143,0.6900655593423541
b2_4_d,2.4285714285714284,0.7867957924694432
b2_4_t,3.0,0.816496580927726
b2_5_d,2.7142857142857144,0.7559289460184545
b2_5_t,2.7142857142857144,0.9511897312113419
b2_6_d,3.0,0.816496580927726
b2_6_t,3.5714285714285716,0.5345224838248487
b2_7_d,3.7142857142857144,0.4879500364742666
b2_7_t,4.0,0.0
b2_8_d,4.571428571428571,0.5345224838248488
b2_8_t,4.857142857142857,0.37796447300922725
b3_1_d,1.5714285714285714,0.9759000729485331
b3_1_t,1.4285714285714286,0.7867957924694431
b3_2_d,1.7142857142857142,0.9511897312113419
b3_2_t,2.5714285714285716,1.1338934190276817
b3_3_d,2.142857142857143,0.37796447300922725
b3_3_t,2.2857142857142856,0.4879500364742666
b3_4_d,2.4285714285714284,0.5345224838248487
b3_4_t,3.2857142857142856,0.4879500364742666
b3_5_d,2.857142857142857,0.8997354108424372
b3_5_t,3.2857142857142856,0.4879500364742666
b3_6_d,3.2857142857142856,0.7559289460184545
b3_6_t,3.857142857142857,0.6900655593423541
b3_7_d,4.0,0.5773502691896257
b3_7_t,4.285714285714286,0.48795003647426655
b3_8_d,4.571428571428571,0.5345224838248488
b3_8_t,5.0,0.0
b4,1.0,0.0
b5,0.8571428571428571,0.3779644730092272
c1_d,3.4285714285714284,1.1338934190276817
c1_t,4.0,1.0
c2,1.0,0.0
c3_1,4.571428571428571,0.5345224838248488
c3_2,5.0,0.0
