,mean,sem
a1_1_d,1.95,0.223312384458703
a1_1_t,2.45,0.2663100685884387
a1_2_d,2.3,0.24170447375168494
a1_2_t,2.55,0.23480114767046692
a1_3_d,2.3,0.23055995909273166
a1_3_t,2.7,0.2188486619609662
a1_4_d,2.15,0.26432635330710325
a1_4_t,2.4,0.29379548919900766
a2_1_d,1.65,0.15
a2_1_t,1.9,0.16059101370939324
a2_2_d,2.55,0.223312384458703
a2_2_t,3.2,0.2247805947796065
a2_3_d,3.35,0.1666228012450182
a2_3_t,3.55,0.2663100685884387
a2_4_d,4.4,0.1835325870964494
a2_4_t,4.5,0.17013926184468015
a3_1_d,1.75,0.1758438302346117
a3_1_t,1.9,0.1762175688714022
a3_2_d,2.4,0.2339590607462407
a3_2_t,3.0,0.21764287503300347
a3_3_d,3.05,0.223312384458703
a3_3_t,2.95,0.22331238445870302
a3_4_d,3.7,0.2819107734914122
a3_4_t,4.1,0.19056702094980707
a4_1_d,1.95,0.223312384458703
a4_1_t,2.0,0.20519567041703082
a4_2_d,3.15,0.25417565414078264
a4_2_t,3.65,0.23254880642226708
b1_1_d,1.2,0.11697953037312035
b1_1_t,1.4,0.15217718205053643
b1_2_d,1.8,0.18637822325921866
b1_2_t,2.45,0.16975214129336985
b1_3_d,2.15,0.15
b1_3_t,2.5,0.19867985355975656
b1_4_d,2.6,0.22242680641174148
b1_4_t,3.15,0.18173143863810048
b1_5_d,2.85,0.15
b1_5_t,2.9,0.14327007988227577
b1_6_d,3.25,0.1758438302346117
b1_6_t,3.45,0.1534686664402456
b1_7_d,4.05,0.11413288653790232
b1_7_t,4.05,0.15346866644024557
b1_8_d,4.6,0.1521771820505364
b1_8_t,4.7,0.12773327473170104
b2_1_d,1.25,0.12301048307916045
b2_1_t,1.3,0.127733274731701
b2_2_d,1.6,0.1835325870964494
b2_2_t,2.3,0.2064741604835056
b2_3_d,1.85,0.1094243309804831
b2_3_t,2.3,0.16383560438182507
b2_4_d,2.5,0.17013926184468015
b2_4_t,3.1,0.16059101370939324
b2_5_d,2.9,0.14327007988227577
b2_5_t,2.65,0.16662280124501821
b2_6_d,3.3,0.16383560438182507
b2_6_t,3.4,0.1521771820505364
b2_7_d,3.95,0.1352385806055747
b2_7_t,3.95,0.1534686664402456
b2_8_d,4.4,0.1835325870964494
b2_8_t,4.5,0.18496087779795345
b3_1_d,1.6,0.18353258709644937
b3_1_t,1.85,0.20869267255691407
b3_2_d,1.95,0.21119958133929792
b3_2_t,2.55,0.223312384458703
b3_3_d,2.1,0.12354415362426845
b3_3_t,2.65,0.18173143863810046
b3_4_d,2.65,0.1956769625791716
b3_4_t,3.2,0.17167901505579045
b3_5_d,3.15,0.18173143863810048
b3_5_t,3.2,0.13764944032233703
b3_6_d,3.5,0.19867985355975656
b3_6_t,3.55,0.1534686664402456
b3_7_d,4.15,0.15000000000000002
b3_7_t,4.15,0.15000000000000002
b3_8_d,4.5,0.13572417850765922
b3_8_t,4.6,0.21026299321513872
b4,0.95,0.05000000000000001
b5,0.9,0.06882472016116853
c1_d,3.15,0.2086926725569141
c1_t,4.0,0.12565617248750863
c2,0.95,0.05000000000000001
c3_1,4.6,0.11239029738980327
c3_2,4.8,0.0917662935482247
