,u18,u14,u02,u03,u15,u19,u12,u04,u08,u09,u05,u13,u06,u10,u11,u07,u20,u16,u17,u01
a1_1_d,2,1,1,3,1,1,2,4,2,2,1,3,1,4,1,2,1,2,3,2
a1_1_t,2,2,1,5,1,2,2,4,2,4,1,2,4,4,1,2,2,3,3,2
a1_2_d,2,1,2,3,2,2,2,4,1,2,3,4,2,5,1,2,1,2,2,3
a1_2_t,2,2,3,5,2,3,2,4,1,3,4,3,3,2,1,2,1,3,2,3
a1_3_d,3,1,2,3,2,2,2,4,1,1,4,3,2,3,1,2,1,2,3,4
a1_3_t,3,2,3,5,2,3,2,4,1,2,4,2,3,3,1,3,3,2,3,3
a1_4_d,3,1,1,3,1,3,2,5,1,1,4,2,3,1,1,2,1,2,3,3
a1_4_t,3,2,1,5,1,3,2,4,1,2,4,1,4,1,1,2,4,1,3,3
a2_1_d,2,2,1,3,3,2,2,1,1,2,1,2,1,1,1,2,1,1,2,2
a2_1_t,2,2,1,3,3,2,2,1,1,3,1,2,3,2,1,2,1,2,2,2
a2_2_d,3,2,2,4,5,3,2,3,3,3,2,3,2,1,1,3,1,2,3,3
a2_2_t,2,2,4,4,4,3,3,5,3,5,3,3,4,4,3,2,1,3,3,3
a2_3_d,3,3,3,4,4,4,3,3,2,4,4,3,2,3,3,3,5,4,3,4
a2_3_t,3,3,4,4,4,5,2,5,3,5,2,3,5,2,1,3,5,4,4,4
a2_4_d,4,3,5,5,5,5,3,5,5,5,4,5,5,3,3,4,5,5,4,5
a2_4_t,4,3,5,5,5,5,3,5,5,5,4,4,5,5,3,4,5,5,5,5
a3_1_d,2,2,1,3,3,1,2,1,1,2,1,1,1,2,3,1,3,2,2,1
a3_1_t,2,3,1,3,3,2,2,2,1,3,1,1,2,2,3,1,1,2,2,1
a3_2_d,3,2,2,4,5,1,2,1,4,3,2,2,2,2,2,1,3,2,3,2
a3_2_t,2,4,3,4,4,2,3,2,3,4,2,2,4,4,3,2,5,2,3,2
a3_3_d,3,3,4,4,5,2,3,4,3,4,2,3,4,4,2,2,1,2,3,3
a3_3_t,3,3,4,4,4,2,2,4,3,5,2,3,4,2,2,2,1,3,3,3
a3_4_d,4,3,5,5,5,3,3,5,4,5,2,4,5,4,3,2,1,2,4,5
a3_4_t,4,4,5,5,4,3,3,5,5,5,3,3,5,4,4,3,5,3,4,5
a4_1_d,2,1,1,2,3,2,3,1,2,2,1,1,2,2,1,1,5,3,2,2
a4_1_t,3,1,1,2,3,3,2,2,2,2,1,1,3,3,1,1,1,4,2,2
a4_2_d,3,1,1,5,4,3,4,4,3,4,3,3,3,3,4,2,1,4,4,4
a4_2_t,4,2,1,5,4,5,3,4,3,4,3,4,4,3,4,3,5,3,4,5
b1_1_d,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1
b1_1_t,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,3,1
b1_2_d,2,2,1,2,3,1,2,1,1,3,2,1,1,2,1,2,1,2,4,2
b1_2_t,3,2,4,2,3,2,3,3,1,2,2,2,3,3,2,2,2,2,4,2
b1_3_d,3,2,2,2,2,2,2,2,1,3,3,2,1,3,2,2,1,2,3,3
b1_3_t,3,2,3,2,2,2,3,1,2,4,2,3,2,4,1,2,3,2,4,3
b1_4_d,3,2,3,3,4,3,3,2,2,4,3,2,1,3,1,2,1,2,4,4
b1_4_t,3,2,4,3,4,3,3,3,2,4,3,3,3,4,2,3,2,3,5,4
b1_5_d,3,3,3,4,3,2,3,3,2,3,2,2,2,2,3,3,4,3,4,3
b1_5_t,4,3,3,4,3,3,3,3,3,3,2,3,3,2,1,3,3,3,3,3
b1_6_d,3,3,4,4,4,2,4,3,3,4,2,3,2,3,3,3,4,3,5,3
b1_6_t,4,3,4,4,4,3,3,4,4,4,3,4,4,3,2,3,2,4,4,3
b1_7_d,4,3,4,4,4,4,4,5,4,5,4,4,4,4,4,3,4,5,4,4
b1_7_t,5,4,4,4,5,5,3,3,5,4,4,4,4,3,3,4,4,4,5,4
b1_8_d,5,3,5,5,5,5,4,5,5,5,4,5,5,5,4,4,3,5,5,5
b1_8_t,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,3,5,5,5
b2_1_d,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,3,1
b2_1_t,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,3,1
b2_2_d,1,1,1,2,2,1,2,1,1,2,1,1,2,3,1,2,1,1,4,2
b2_2_t,2,1,4,2,2,1,3,3,1,2,2,2,3,3,3,3,2,2,4,1
b2_3_d,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,3,2
b2_3_t,2,2,3,2,2,2,3,1,2,3,2,2,2,3,1,2,3,2,4,3
b2_4_d,3,2,3,3,3,2,3,2,3,3,2,2,1,3,2,3,1,2,4,3
